Sample_time,Variety,Fertilizer,Rep,pH,Yield
1,VAR1,1,1,7.07,0.604220697
1,VAR1,1,2,7.06,0.5946271
1,VAR1,1,3,7.08,3.145058879
1,VAR1,1,4,7.09,3.090934575
1,VAR1,2,1,7.13,2.415133188
1,VAR1,2,2,7.12,2.615854276
1,VAR1,2,3,7.15,4.009176701
1,VAR1,2,4,7.14,3.460704548
1,VAR1,3,1,7.18,3.276358733
1,VAR1,3,2,7.18,3.131134036
1,VAR1,3,3,7.14,4.145610152
1,VAR1,3,4,7.15,5.157147204
1,VAR2,1,1,7.06,1.16728131
1,VAR2,1,2,7.05,0.610600128
1,VAR2,1,3,7.06,0.931520414
1,VAR2,1,4,7.06,0.740930285
1,VAR2,2,1,7.13,1.793879967
1,VAR2,2,2,7.11,2.899344057
1,VAR2,2,3,7.14,3.017652663
1,VAR2,2,4,7.15,4.070270437
1,VAR2,3,1,7.15,2.256497386
1,VAR2,3,2,7.17,2.747103751
1,VAR2,3,3,7.14,2.190143015
1,VAR2,3,4,7.16,5.492326296
2,VAR1,1,1,7.07,1.249055663
2,VAR1,1,2,7.06,2.103104001
2,VAR1,1,3,7.08,1.381780258
2,VAR1,1,4,7.09,4.761351391
2,VAR1,2,1,7.13,4.356469725
2,VAR1,2,2,7.12,3.869973582
2,VAR1,2,3,7.15,5.818428463
2,VAR1,2,4,7.14,6.848745573
2,VAR1,3,1,7.18,6.318843278
2,VAR1,3,2,7.18,6.421802193
2,VAR1,3,3,7.14,5.840823937
2,VAR1,3,4,7.15,6.65159436
2,VAR2,1,1,7.06,0.83841246
2,VAR2,1,2,7.05,1.660566354
2,VAR2,1,3,7.06,3.059593951
2,VAR2,1,4,7.06,2.906372783
2,VAR2,2,1,7.13,4.217352873
2,VAR2,2,2,7.11,3.36273787
2,VAR2,2,3,7.14,5.905820685
2,VAR2,2,4,7.15,6.981216978
2,VAR2,3,1,7.15,5.083115207
2,VAR2,3,2,7.17,5.580533367
2,VAR2,3,3,7.14,5.485826903
2,VAR2,3,4,7.16,4.879532235
3,VAR1,1,1,7.07,2.112434703
3,VAR1,1,2,7.06,2.152323452
3,VAR1,1,3,7.08,3.230600503
3,VAR1,1,4,7.09,3.088761921
3,VAR1,2,1,7.13,5.669942671
3,VAR1,2,2,7.12,5.937621169
3,VAR1,2,3,7.15,7.929614398
3,VAR1,2,4,7.14,8.665176103
3,VAR1,3,1,7.18,8.732278453
3,VAR1,3,2,7.18,9.243627769
3,VAR1,3,3,7.14,5.979925587
3,VAR1,3,4,7.15,7.3525467
3,VAR2,1,1,7.06,2.015765752
3,VAR2,1,2,7.05,1.375312999
3,VAR2,1,3,7.06,2.064551471
3,VAR2,1,4,7.06,2.219871763
3,VAR2,2,1,7.13,5.481316423
3,VAR2,2,2,7.11,5.191953672
3,VAR2,2,3,7.14,5.882798344
3,VAR2,2,4,7.15,6.884945023
3,VAR2,3,1,7.15,6.327922635
3,VAR2,3,2,7.17,7.841561255
3,VAR2,3,3,7.14,6.784450112
3,VAR2,3,4,7.16,10.44737378
4,VAR1,1,1,7.07,1.904350417
4,VAR1,1,2,7.06,2.865168787
4,VAR1,1,3,7.08,4.644847609
4,VAR1,1,4,7.09,3.410639482
4,VAR1,2,1,7.13,7.426903559
4,VAR1,2,2,7.12,6.377271086
4,VAR1,2,3,7.15,10.63207782
4,VAR1,2,4,7.14,11.63439151
4,VAR1,3,1,7.18,10.94338755
4,VAR1,3,2,7.18,11.74684614
4,VAR1,3,3,7.14,9.192412454
4,VAR1,3,4,7.15,11.20724394
4,VAR2,1,1,7.06,2.011311387
4,VAR2,1,2,7.05,1.471763493
4,VAR2,1,3,7.06,0.978381037
4,VAR2,1,4,7.06,3.904356122
4,VAR2,2,1,7.13,7.552136609
4,VAR2,2,2,7.11,6.726931469
4,VAR2,2,3,7.14,8.027890704
4,VAR2,2,4,7.15,11.40000914
4,VAR2,3,1,7.15,8.343119636
4,VAR2,3,2,7.17,11.27390508
4,VAR2,3,3,7.14,10.34946236
4,VAR2,3,4,7.16,10.28713793
5,VAR1,1,1,7.07,3.06189831
5,VAR1,1,2,7.06,2.290705782
5,VAR1,1,3,7.08,5.502510438
5,VAR1,1,4,7.09,7.940630229
5,VAR1,2,1,7.13,9.57322893
5,VAR1,2,2,7.12,8.24141468
5,VAR1,2,3,7.15,13.73690508
5,VAR1,2,4,7.14,10.03733038
5,VAR1,3,1,7.18,13.76483376
5,VAR1,3,2,7.18,13.98706004
5,VAR1,3,3,7.14,10.62210787
5,VAR1,3,4,7.15,13.17598558
5,VAR2,1,1,7.06,2.372380251
5,VAR2,1,2,7.05,2.005758527
5,VAR2,1,3,7.06,3.096022093
5,VAR2,1,4,7.06,3.023262441
5,VAR2,2,1,7.13,9.289458472
5,VAR2,2,2,7.11,8.505731854
5,VAR2,2,3,7.14,10.83427859
5,VAR2,2,4,7.15,10.51597971
5,VAR2,3,1,7.15,10.65134086
5,VAR2,3,2,7.17,14.12538482
5,VAR2,3,3,7.14,11.00254797
5,VAR2,3,4,7.16,14.20893664
