block,nitrogen,management,variety,yield
1,0,m1,1,3.32
1,0,m2,1,3.766
1,0,m3,1,4.66
1,50,m1,1,3.188
1,50,m2,1,3.625
1,50,m3,1,5.232
1,80,m1,1,5.468
1,80,m2,1,5.759
1,80,m3,1,6.215
1,110,m1,1,4.246
1,110,m2,1,5.255
1,110,m3,1,6.829
1,140,m1,1,3.132
1,140,m2,1,5.389
1,140,m3,1,5.217
2,0,m1,1,3.864
2,0,m2,1,4.311
2,0,m3,1,5.915
2,50,m1,1,4.752
2,50,m2,1,4.809
2,50,m3,1,5.17
2,80,m1,1,5.788
2,80,m2,1,6.13
2,80,m3,1,7.106
2,110,m1,1,4.842
2,110,m2,1,5.742
2,110,m3,1,5.869
2,140,m1,1,4.375
2,140,m2,1,4.315
2,140,m3,1,5.389
3,0,m1,1,4.507
3,0,m2,1,4.875
3,0,m3,1,5.4
3,50,m1,1,4.756
3,50,m2,1,5.295
3,50,m3,1,6.046
3,80,m1,1,4.422
3,80,m2,1,5.308
3,80,m3,1,6.318
3,110,m1,1,4.863
3,110,m2,1,5.345
3,110,m3,1,6.011
3,140,m1,1,4.678
3,140,m2,1,5.896
3,140,m3,1,7.309
1,0,m1,2,6.101
1,0,m2,2,5.096
1,0,m3,2,6.573
1,50,m1,2,5.595
1,50,m2,2,6.357
1,50,m3,2,7.016
1,80,m1,2,5.442
1,80,m2,2,6.398
1,80,m3,2,6.953
1,110,m1,2,6.209
1,110,m2,2,6.992
1,110,m3,2,7.565
1,140,m1,2,6.86
1,140,m2,2,6.857
1,140,m3,2,7.254
2,0,m1,2,5.122
2,0,m2,2,4.873
2,0,m3,2,5.495
2,50,m1,2,6.78
2,50,m2,2,5.925
2,50,m3,2,7.442
2,80,m1,2,5.988
2,80,m2,2,6.533
2,80,m3,2,6.914
2,110,m1,2,6.768
2,110,m2,2,7.856
2,110,m3,2,7.626
2,140,m1,2,6.894
2,140,m2,2,6.974
2,140,m3,2,7.812
3,0,m1,2,4.815
3,0,m2,2,4.166
3,0,m3,2,4.225
3,50,m1,2,5.39
3,50,m2,2,5.163
3,50,m3,2,4.478
3,80,m1,2,6.509
3,80,m2,2,6.569
3,80,m3,2,7.991
3,110,m1,2,5.779
3,110,m2,2,6.164
3,110,m3,2,7.362
3,140,m1,2,6.573
3,140,m2,2,7.422
3,140,m3,2,8.95
1,0,m1,3,5.355
1,0,m2,3,7.442
1,0,m3,3,7.018
1,50,m1,3,6.706
1,50,m2,3,8.592
1,50,m3,3,8.48
1,80,m1,3,8.452
1,80,m2,3,8.662
1,80,m3,3,9.112
1,110,m1,3,8.042
1,110,m2,3,9.08
1,110,m3,3,9.66
1,140,m1,3,9.314
1,140,m2,3,9.224
1,140,m3,3,10.36
2,0,m1,3,5.536
2,0,m2,3,6.462
2,0,m3,3,8.02
2,50,m1,3,6.546
2,50,m2,3,7.646
2,50,m3,3,9.942
2,80,m1,3,6.698
2,80,m2,3,8.526
2,80,m3,3,9.14
2,110,m1,3,7.414
2,110,m2,3,9.016
2,110,m3,3,8.966
2,140,m1,3,8.508
2,140,m2,3,9.68
2,140,m3,3,9.896
3,0,m1,3,5.244
3,0,m2,3,5.584
3,0,m3,3,7.642
3,50,m1,3,7.092
3,50,m2,3,7.212
3,50,m3,3,8.714
3,80,m1,3,8.65
3,80,m2,3,8.514
3,80,m3,3,9.32
3,110,m1,3,6.902
3,110,m2,3,7.778
3,110,m3,3,9.128
3,140,m1,3,8.032
3,140,m2,3,9.294
3,140,m3,3,9.712
